Date,Price
2025-04-17,275.0
2025-04-18,275.0
2025-04-19,275.0
2025-04-20,275.0
2025-04-21,560.0
2025-04-22,325.0
2025-04-23,390.0
2025-04-24,375.0
2025-04-25,410.0
2025-04-26,410.0
2025-04-27,410.0
2025-04-28,525.0
2025-04-29,525.0
2025-04-30,575.0
2025-05-01,575.0
2025-05-02,675.0
2025-05-03,675.0
2025-05-04,675.0
2025-05-05,645.0
2025-05-06,645.0
2025-05-07,700.0
2025-05-08,650.0
2025-05-09,650.0
2025-05-10,650.0
2025-05-11,650.0
2025-05-12,650.0
2025-05-13,650.0
2025-05-14,490.0
2025-05-15,565.0
2025-05-16,375.0
2025-05-17,375.0
2025-05-18,375.0
2025-05-19,250.0
2025-05-20,260.0
2025-05-21,155.0
2025-05-22,275.0
2025-05-23,250.0
2025-05-24,250.0
2025-05-25,250.0
2025-05-26,335.0
2025-05-27,345.0
2025-05-28,345.0
2025-05-29,300.0
2025-05-30,315.0
2025-05-31,315.0
2025-06-01,315.0
2025-06-02,400.0
2025-06-03,290.0
2025-06-04,375.0
2025-06-05,475.0
2025-06-06,545.0
2025-06-07,545.0
2025-06-08,545.0
2025-06-09,275.0
2025-06-10,275.0
2025-06-11,275.0
2025-06-12,545.0
2025-06-13,375.0
2025-06-14,375.0
2025-06-15,375.0
2025-06-16,500.0
2025-06-17,460.0
2025-06-18,475.0
2025-06-19,545.0
2025-06-20,575.0
2025-06-21,575.0
2025-06-22,575.0
2025-06-23,475.0
2025-06-24,450.0
2025-06-25,575.0
2025-06-26,400.0
2025-06-27,475.0
2025-06-28,475.0
2025-06-29,475.0
2025-06-30,490.0
2025-07-01,525.0
2025-07-02,350.0
2025-07-03,350.0
2025-07-04,375.0
2025-07-05,375.0
2025-07-06,375.0
2025-07-07,375.0
