No,Date,Price
704,4/5/2025,
705,5/5/2025,645
706,6/5/2025,
707,7/5/2025,700
708,8/5/2025,650
709,9/5/2025,650
710,10/5/2025,
711,11/5/2025,
712,12/5/2025,
713,13/5/2025,
714,14/5/2025,490
715,15/5/2025,565
716,16/5/2025,375
717,17/5/2025,
718,18/5/2025,
719,19/5/2025,250
720,20/5/2025,260
721,21/5/2025,155
722,22/5/2025,275
723,23/5/2025,250
724,24/5/2025,
725,25/5/2025,
726,26/5/2025,335
727,27/5/2025,345
728,28/5/2025,345
729,29/5/2025,300
730,30/5/2025,315
731,31/5/2025,
732,1/6/2025,
733,2/6/2025,400
734,3/6/2025,290
735,4/6/2025,375
736,5/6/2025,475
737,6/6/2025,545
738,7/6/2025,
739,8/6/2025,
740,9/6/2025,275
741,10/6/2025,
742,11/6/2025,
743,12/6/2025,545
744,13/6/2025,375
745,14/6/2025,
746,15/6/2025,
747,16/6/2025,500
748,17/6/2025,460
749,18/6/2025,475
750,19/6/2025,545
751,20/6/2025,575
752,21/6/2025,
753,22/6/2025,
754,23/6/2025,475
755,24/6/2025,450
756,25/6/2025,575
757,26/6/2025,400
758,27/6/2025,475
759,28/6/2025,
760,29/6/2025,
761,30/6/2025,490
762,1/7/2025,525
763,2/7/2025,350
764,3/7/2025,350
765,4/7/2025,375
766,5/7/2025,
767,6/7/2025,
768,7/7/2025,
